EXP__FIELD,HMA__FIELD,LSI1__FIELD,NRAMP__FIELD,QHB__FIELD,RSS1__FIELD,SHR__FIELD,polyA__FIELD,X35S__FIELD
OS01G0130900,1.6365753,6.050700796,4.966625709,5.894981893,13.36599313,3.965136725,6.587523832,3.914498895,7.869982413
OS01G0131300,88.97618244,123.2374733,195.8245651,141.6520315,103.6775451,92.73556923,81.76536276,100.2723538,124.2346338
OS01G0131450,260.7083149,235.2944343,115.5405904,130.3570821,116.6872576,201.4046262,228.1899264,165.6595948,121.8126347
OS01G0131600,240.6253606,214.7077893,105.5390587,121.3331038,109.0676212,179.938731,210.1729672,151.5077424,110.8137488
OS01G0131800,45.83739427,15.39042673,45.39931882,34.42468775,29.89282377,17.70731344,23.01739457,32.36173727,28.65861735
OS01G0131900,1.358081776,6.952508712,1.154260334,1.621653581,1.243804952,3.837494516,6.722391209,3.488680906,3.213363138
OS01G0132000,59.14527901,62.00830575,8.665880364,38.43981733,71.70063054,118.1950539,122.0640657,174.8169045,167.2045278
OS01G0132500,6.590457052,8.369591719,17.28441247,15.49172905,16.72908346,5.705802199,4.427039272,7.293227933,11.57972074
OS01G0132700,16.94306159,12.0102518,32.13909049,17.21717554,16.27480116,15.52551712,17.13209848,20.92679059,16.17733124
OS01G0132766,45.53606045,68.90792338,60.18659582,128.5844377,84.15238092,63.60055965,68.78046949,67.4479352,102.3931911
OS01G0132800,4.778586428,6.235401441,13.84530531,6.371516493,3.575074694,10.08791887,5.712338887,6.776833775,10.63830774
OS01G0133100,3.218646805,2.497505316,0.661158586,7.895441629,6.997557317,4.724189822,2.783532317,4.124636352,3.825019341
OS01G0133200,26.29011351,14.4728093,1.005524545,11.20649344,16.66213704,23.07865586,22.7054061,18.75338913,2.677734352
OS01G0133400,40.37938969,43.67108865,53.95842468,40.88520773,36.84054616,38.10976867,32.04117471,39.15147855,41.6088872
OS01G0133500,13.10764083,9.27706567,13.7045596,11.99651347,10.06452029,11.39947126,10.03348027,8.12639552,11.82444841
OS01G0133600,0.62056071,0.444680544,0.263781675,0.333449307,0.338833144,0.249468189,2.118921583,0.395159833,0.116947601
OS01G0133650,0.516200202,0.451226269,0.54506738,0.689025651,0.371266542,0.462423627,4.378450616,0.795181583,0.241655613
OS01G0133700,0.710086083,0.332787273,0.530335829,0.48202137,0.290941656,1.505075362,0.543204351,0.688880517,0.476732689
OS01G0133799,0.703746029,0.329815958,0.525600688,0.477717607,0.288343963,1.491637189,0.538354312,0.76995823,0.472476147
OS01G0133832,1.871114245,2.691889103,1.162327127,1.241971892,6.887593122,2.650692848,2.42281058,2.068142983,1.468564723
OS01G0133866,4.95854015,2.899750785,1.130311363,5.986997283,14.69706814,6.155035178,3.479286457,3.726059891,1.883927921
OS01G0133900,1.805775713,4.68122232,0.55535167,7.000567235,13.76518661,5.804284726,5.016676695,3.994400179,2.103241655
OS01G0134200,0.475973901,0.643890032,2.29401382,0.374361573,0.175128446,0.818112396,3.533360763,0.300503256,0.396909142
OS01G0134500,22.5876713,21.53372015,13.07978962,27.16260221,46.58955473,28.63319495,29.22408283,37.84036003,17.34915078
OS01G0134700,66.51773459,58.83962714,10.44725543,17.24404952,17.31669433,54.71452602,63.40304732,37.65148615,29.29987962
OS01G0134800,3.237377373,0.768536209,0.4303075,0.464849304,103.9918425,1.762550054,0.479454755,0.519438379,2.722230563
OS01G0134850,5.291491,0.493987431,0.726933441,0.402793488,103.1571525,1.487092717,0.41544916,0.627903857,2.576169312
OS01G0134900,22.7171152,29.06719654,3.276426892,8.419967013,157.5975602,28.54204532,11.28871136,25.64049247,13.50281344
OS01G0135000,12.02338536,5.5171771,1.009862709,0.560927909,44.17619958,6.739224315,1.635270032,5.378149057,2.95950572
OS01G0135600,1.440718436,2.350645208,1.572279059,0.898430264,0.796841229,0.696552635,1.567873509,0.849989957,0.341539899
OS01G0135700,84.50084802,149.0578893,42.04525822,87.78833212,76.82265618,134.9011526,76.05389123,151.0885791,172.7273472
OS01G0135800,0.41398234,0.274302381,0.437133245,0.292703027,0.239810821,0.255169168,0.44774022,0.323326272,0.193803016
OS01G0135900,67.72595817,81.4767999,31.07338534,22.7865053,62.75958904,65.88647247,58.07057726,80.05563027,152.3867093
