CMZ__PLATE,QHB__PLATE,RSS1__PLATE,SCR__PLATE,SHR__PLATE,X35S__PLATE,polyA__PLATE
OS01G0140400,8.317033242,9.345761174,10.85972766,9.131377342,13.36420814,3.2185749,7.233969837
OS01G0140500,108.4451999,215.9292024,223.1545674,127.2633723,147.2580405,104.7142909,196.4372388
OS01G0140700,1.757402304,0.247417524,0.474574179,0.879040634,1.197330156,2.51095159,0.186800712
OS01G0141000,4.953557076,3.983998867,11.57462874,5.093318838,9.208827729,34.99825413,7.496810619
OS01G0141100,76.27413055,109.1585292,113.0796529,90.7042239,96.34590418,107.8816675,108.5087209
OS01G0141150,70.2266675,120.0739778,113.3560788,71.34850626,96.28201481,111.7165202,107.7429809
OS01G0141300,2.860415599,1.007230452,2.085168095,0.869789284,2.210097358,0.904665879,2.24602525
OS01G0141600,4.612128878,2.116641029,1.394430568,9.509411359,9.392696005,3.828986356,3.623284774
OS01G0141700,4.967088953,5.382971335,4.40478473,3.749518031,3.669863327,4.177494803,3.135325147
OS01G0141900,13.08307079,18.4730735,11.09436451,10.32592091,11.46984038,9.296345504,7.161065843
OS01G0142100,1.273876518,0.33521744,0.382851629,2.885338497,1.516371377,6.946704353,0.743222048
OS01G0142200,16.91950021,22.39774892,21.14312655,21.01346072,10.92052809,10.73050787,20.91670299
OS01G0142300,15.93327632,7.267907848,13.22444392,18.93994191,13.49607756,20.9444457,13.89914085
OS01G0142500,100.6883848,62.83873814,81.13680944,105.6329703,107.7703543,58.2354829,63.46456471
OS01G0142600,0.52808289,0.35748811,0.407266261,0.883770263,0.709923414,0.679356463,0.102189749
OS01G0142800,23.23995335,10.32261564,22.84765514,18.08431244,18.41566834,27.21593862,12.43181853
OS01G0142875,41.15343471,18.47343689,42.49441101,30.6306327,33.21147213,50.09920698,21.64548812
OS01G0142950,7.154892225,1.137044818,0.438861876,5.713410925,4.129225932,0.433014521,0.888487451
OS01G0143100,13.9128485,8.480822913,6.015198416,15.16270772,22.07795929,8.229966055,7.776968821
OS01G0143300,7.401361236,38.52245674,41.18026464,10.36417729,12.68337352,15.04128244,28.82738794
OS01G0143350,8.799761805,46.96781518,49.54485799,10.6297708,15.73015091,18.40040114,34.08433436
OS01G0143800,7.871111969,14.15276932,19.71675465,6.344716955,18.27527996,41.15379575,8.89894435
OS01G0143900,165.4096881,101.6708306,256.1668972,144.6641124,152.3500765,238.9948303,441.361666
OS01G0144000,41.28711831,61.26840915,41.0715778,37.51319692,45.2640092,20.43701995,36.34553794
